a,r,b
{sys_id:1345},"{type:реферер,номер:7,sys_id:2472}",{sys_id:1291}
{sys_id:1289},"{type:реферал,номер:7,sys_id:2442}",{sys_id:1291}
{sys_id:1294},"{type:кому,номер:7,sys_id:2441}",{sys_id:1291}
{sys_id:1293},"{type:позиция,номер:7,sys_id:2438}",{sys_id:1291}
{sys_id:1291},"{type:имеет,sys_id:2430}",{sys_id:1292}
{sys_id:1291},"{type:список,sys_id:2439}",{sys_id:1293}
{sys_id:2758},"{type:with_browser,sys_id:1382}",{sys_id:1300}
{sys_id:2750},"{type:with_browser,sys_id:1295}",{sys_id:1300}
{sys_id:2458},"{type:with_browser,sys_id:3192}",{sys_id:1300}
{sys_id:2604},"{type:with_browser,sys_id:3003}",{sys_id:1300}
{sys_id:2602},"{type:with_browser,sys_id:2927}",{sys_id:1300}
{sys_id:2601},"{type:with_browser,sys_id:2910}",{sys_id:1300}
{sys_id:2594},"{type:with_browser,sys_id:2827}",{sys_id:1300}
{sys_id:1245},"{type:with_browser,sys_id:2733}",{sys_id:1300}
{sys_id:3365},"{type:with_browser,sys_id:2730}",{sys_id:1300}
{sys_id:3109},"{type:раздел,sys_id:561}",{sys_id:1306}
{sys_id:3108},"{type:раздел,sys_id:559}",{sys_id:1306}
{sys_id:3107},"{type:раздел,sys_id:557}",{sys_id:1306}
{sys_id:3106},"{type:раздел,sys_id:555}",{sys_id:1306}
{sys_id:3105},"{type:раздел,sys_id:553}",{sys_id:1306}
{sys_id:3103},"{type:раздел,sys_id:549}",{sys_id:1306}
{sys_id:1307},"{type:раздел,sys_id:2986}",{sys_id:1306}
{sys_id:3120},"{type:раздел,sys_id:583}",{sys_id:1307}
{sys_id:3119},"{type:раздел,sys_id:581}",{sys_id:1307}
{sys_id:3118},"{type:раздел,sys_id:579}",{sys_id:1307}
{sys_id:3117},"{type:раздел,sys_id:577}",{sys_id:1307}
{sys_id:3116},"{type:раздел,sys_id:575}",{sys_id:1307}
{sys_id:3115},"{type:раздел,sys_id:573}",{sys_id:1307}
{sys_id:3104},"{type:раздел,sys_id:571}",{sys_id:1307}
{sys_id:3114},"{type:раздел,sys_id:569}",{sys_id:1307}
{sys_id:3113},"{type:раздел,sys_id:567}",{sys_id:1307}
{sys_id:3112},"{type:раздел,sys_id:550}",{sys_id:1307}
{sys_id:3111},"{type:раздел,sys_id:565}",{sys_id:1307}
{sys_id:3110},"{type:раздел,sys_id:563}",{sys_id:1307}
{sys_id:3057},"{type:раздел,sys_id:531}",{sys_id:1309}
{sys_id:3056},"{type:раздел,sys_id:529}",{sys_id:1309}
{sys_id:3055},"{type:раздел,sys_id:527}",{sys_id:1309}
{sys_id:3054},"{type:раздел,sys_id:468}",{sys_id:1309}
{sys_id:3053},"{type:раздел,sys_id:466}",{sys_id:1309}
{sys_id:3052},"{type:раздел,sys_id:464}",{sys_id:1309}
{sys_id:3091},"{type:раздел,sys_id:518}",{sys_id:1309}
{sys_id:3090},"{type:раздел,sys_id:516}",{sys_id:1309}
{sys_id:3089},"{type:раздел,sys_id:514}",{sys_id:1309}
{sys_id:3088},"{type:раздел,sys_id:512}",{sys_id:1309}
{sys_id:3087},"{type:раздел,sys_id:510}",{sys_id:1309}
{sys_id:3085},"{type:раздел,sys_id:506}",{sys_id:1309}
{sys_id:3078},"{type:раздел,sys_id:492}",{sys_id:1311}
{sys_id:3480},"{type:раздел,sys_id:3681}",{sys_id:1311}
{sys_id:3479},"{type:раздел,sys_id:3679}",{sys_id:1311}
{sys_id:3447},"{type:раздел,sys_id:3653}",{sys_id:1311}
{sys_id:3457},"{type:раздел,sys_id:3575}",{sys_id:1311}
{sys_id:1312},"{type:раздел,sys_id:2391}",{sys_id:1311}
{sys_id:3039},"{type:раздел,sys_id:398}",{sys_id:1312}
{sys_id:3038},"{type:раздел,sys_id:396}",{sys_id:1312}
{sys_id:3037},"{type:раздел,sys_id:394}",{sys_id:1312}
{sys_id:3036},"{type:раздел,sys_id:392}",{sys_id:1312}
{sys_id:3035},"{type:раздел,sys_id:390}",{sys_id:1312}
{sys_id:3034},"{type:раздел,sys_id:388}",{sys_id:1312}
{sys_id:2878},"{type:от,sys_id:1801}",{sys_id:1324}
{sys_id:2893},"{type:от,sys_id:1773}",{sys_id:1324}
{sys_id:2873},"{type:от,sys_id:1757}",{sys_id:1324}
{sys_id:2871},"{type:от,sys_id:1689}",{sys_id:1324}
{sys_id:2778},"{type:от,sys_id:1734}",{sys_id:1324}
{sys_id:2850},"{type:от,sys_id:1698}",{sys_id:1324}
{sys_id:2816},"{type:от,sys_id:1715}",{sys_id:1324}
{sys_id:2831},"{type:от,sys_id:1675}",{sys_id:1324}
{sys_id:2829},"{type:от,sys_id:1659}",{sys_id:1324}
{sys_id:2841},"{type:от,sys_id:1639}",{sys_id:1324}
{sys_id:2839},"{type:от,sys_id:1624}",{sys_id:1324}
{sys_id:2823},"{type:от,sys_id:1599}",{sys_id:1324}
{sys_id:2810},"{type:от,sys_id:1519}",{sys_id:1324}
{sys_id:2791},"{type:от,sys_id:1479}",{sys_id:1324}
{sys_id:2770},"{type:от,sys_id:1488}",{sys_id:1324}
{sys_id:2769},"{type:от,sys_id:1445}",{sys_id:1324}
{sys_id:2765},"{type:от,sys_id:1403}",{sys_id:1324}
{sys_id:2783},"{type:от,sys_id:1410}",{sys_id:1324}
{sys_id:2760},"{type:от,sys_id:1390}",{sys_id:1324}
{sys_id:2735},"{type:от,sys_id:1286}",{sys_id:1324}
{sys_id:2741},"{type:от,sys_id:3556}",{sys_id:1324}
{sys_id:2725},"{type:от,sys_id:1169}",{sys_id:1324}
{sys_id:2720},"{type:от,sys_id:1159}",{sys_id:1324}
{sys_id:2699},"{type:от,sys_id:3541}",{sys_id:1324}
