a,r,b
{sys_id:3431},"{type:от,sys_id:3377}",{sys_id:1324}
{sys_id:3501},"{type:от,sys_id:3723}",{sys_id:1324}
{sys_id:2441},"{type:от,sys_id:2256}",{sys_id:1324}
{sys_id:2438},"{type:от,sys_id:2253}",{sys_id:1324}
{sys_id:2461},"{type:от,sys_id:2283}",{sys_id:1324}
{sys_id:2445},"{type:от,sys_id:2305}",{sys_id:1324}
{sys_id:2451},"{type:от,sys_id:2523}",{sys_id:1324}
{sys_id:2455},"{type:от,sys_id:2536}",{sys_id:1324}
{sys_id:2504},"{type:от,sys_id:2519}",{sys_id:1324}
{sys_id:2471},"{type:от,sys_id:2587}",{sys_id:1324}
{sys_id:2491},"{type:от,sys_id:2351}",{sys_id:1324}
{sys_id:2506},"{type:от,sys_id:2566}",{sys_id:1324}
{sys_id:2508},"{type:от,sys_id:2637}",{sys_id:1324}
{sys_id:1308},"{type:от,sys_id:2662}",{sys_id:1324}
{sys_id:447},"{type:от,sys_id:2676}",{sys_id:1324}
{sys_id:2459},"{type:от,sys_id:2496}",{sys_id:1324}
{sys_id:2462},"{type:от,sys_id:2513}",{sys_id:1324}
{sys_id:3499},"{type:от,sys_id:3429}",{sys_id:1324}
{sys_id:493},"{type:от,sys_id:2264}",{sys_id:1324}
{sys_id:489},"{type:от,sys_id:1942}",{sys_id:1324}
{sys_id:466},"{type:от,sys_id:2426}",{sys_id:1324}
{sys_id:492},"{type:от,sys_id:1950}",{sys_id:1324}
{sys_id:2550},"{type:от,sys_id:2720}",{sys_id:1324}
{sys_id:2556},"{type:от,sys_id:2493}",{sys_id:1324}
{sys_id:2592},"{type:от,sys_id:2819}",{sys_id:1324}
{sys_id:2597},"{type:от,sys_id:2868}",{sys_id:1324}
{sys_id:443},"{type:от,sys_id:2874}",{sys_id:1324}
{sys_id:2577},"{type:от,sys_id:2844}",{sys_id:1324}
{sys_id:2583},"{type:от,sys_id:2960}",{sys_id:1324}
{sys_id:2640},"{type:от,sys_id:3013}",{sys_id:1324}
{sys_id:2502},"{type:принадлежит,sys_id:2547}",{sys_id:1324}
{sys_id:1324},"{type:имеет,sys_id:2402}",{sys_id:1325}
{sys_id:3567},"{type:позиция,номер:3,sys_id:3782}",{sys_id:1326}
{sys_id:3124},"{type:позиция,номер:5,sys_id:594}",{sys_id:1326}
{sys_id:2992},"{type:позиция,номер:2,sys_id:418}",{sys_id:1326}
{sys_id:2990},"{type:позиция,номер:2,sys_id:283}",{sys_id:1326}
{sys_id:3019},"{type:позиция,номер:3,sys_id:323}",{sys_id:1326}
